Key,en,hi,ar,es,fr
Onboard screen information updated successfully!,Onboard screen information updated successfully!,ऑनबोर्ड स्क्रीन जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات الشاشة الموجودة على اللوحة بنجاح!,¡La información de la pantalla a bordo se actualizó exitosamente!,Les informations sur l'écran intégré ont été mises à jour avec succès !
Screen deleted successfully!,Screen deleted successfully!,स्क्रीन सफलतापूर्वक हटा दी गई!,تم حذف الشاشة بنجاح!,¡Pantalla eliminada exitosamente!,Écran supprimé avec succès !
Splash screen updated successfully!,Splash screen updated successfully!,स्पलैश स्क्रीन सफलतापूर्वक अपडेट की गई!,تم تحديث شاشة البداية بنجاح!,¡La pantalla de bienvenida se actualizó correctamente!,Écran de démarrage mis à jour avec succès !
URL settings updated successfully!,URL settings updated successfully!,यूआरएल सेटिंग्स सफलतापूर्वक अपडेट की गईं!,تم تحديث إعدادات URL بنجاح!,¡La configuración de URL se actualizó correctamente!,Paramètres d'URL mis à jour avec succès !
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,प्रसारण कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!,تم تحديث تكوين البث بنجاح!,¡La configuración de transmisión se actualizó exitosamente!,Configuration de diffusion mise à jour avec succès !
Status updated successfully!,Status updated successfully!,स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث الحالة بنجاح!,¡Estado actualizado exitosamente!,Statut mis à jour avec succès !
A reply has been sent to your mail about your booking(Car:,A reply has been sent to your mail about your booking(Car:,आपकी बुकिंग के बारे में आपके मेल पर एक उत्तर भेज दिया गया है (कार:,تم إرسال الرد إلى بريدك بخصوص حجزك (السيارة:,Se ha enviado una respuesta a su correo sobre su reserva (Coche:,Une réponse a été envoyée à votre courrier concernant votre réservation (Voiture :
Reply sent successfully!,Reply sent successfully!,उत्तर सफलतापूर्वक भेजा गया!,تم إرسال الرد بنجاح!,¡Respuesta enviada exitosamente!,Réponse envoyée avec succès !
Cookie information updated successfully!,Cookie information updated successfully!,कुकी जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!,¡La información de las cookies se actualizó correctamente!,Les informations sur les cookies ont été mises à jour avec succès !
Default currency make failed! Please try again.,Default currency make failed! Please try again.,डिफ़ॉल्ट मुद्रा निर्माण विफल! कृपया पुन: प्रयास करें।,العملة الافتراضية فشلت! يرجى المحاولة مرة أخرى.,¡Error en la creación de moneda predeterminada! Por favor inténtalo de nuevo.,Échec de la création de la devise par défaut ! Veuillez réessayer.
Currency Saved Successfully!,Currency Saved Successfully!,मुद्रा सफलतापूर्वक सहेजी गई!,تم حفظ العملة بنجاح!,¡Moneda guardada con éxito!,Devise enregistrée avec succès !
Currency record not found in our system.,Currency record not found in our system.,हमारे सिस्टम में मुद्रा रिकॉर्ड नहीं मिला.,سجل العملة غير موجود في نظامنا.,Registro de moneda no encontrado en nuestro sistema.,Enregistrement de devise introuvable dans notre système.
Currency status updated successfully!,Currency status updated successfully!,मुद्रा स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة العملة بنجاح!,¡El estado de la moneda se actualizó exitosamente!,Statut de la devise mis à jour avec succès !
Currency not found!,Currency not found!,मुद्रा नहीं मिली!,لم يتم العثور على العملة!,¡Moneda no encontrada!,Devise introuvable !
Image file upload failed!,Image file upload failed!,छवि फ़ाइल अपलोड विफल!,فشل تحميل ملف الصورة!,¡Error al cargar el archivo de imagen!,Échec du téléchargement du fichier image !
Successfully updated the information.,Successfully updated the information.,जानकारी सफलतापूर्वक अद्यतन की गई.,تم تحديث المعلومات بنجاح.,Se actualizó exitosamente la información.,Les informations ont été mises à jour avec succès.
Can't deletable default currency.,Can't deletable default currency.,डिफ़ॉल्ट मुद्रा को हटाया नहीं जा सकता.,لا يمكن حذف العملة الافتراضية.,No se puede eliminar la moneda predeterminada.,Impossible de supprimer la devise par défaut.
Currency deleted successfully!,Currency deleted successfully!,मुद्रा सफलतापूर्वक हटा दी गई!,تم حذف العملة بنجاح!,¡Moneda eliminada exitosamente!,Devise supprimée avec succès !
Notifications clear successfully!,Notifications clear successfully!,सूचनाएं सफलतापूर्वक साफ़ हो गईं!,تم مسح الإخطارات بنجاح!,¡Las notificaciones se borran correctamente!,Les notifications sont effacées avec succès !
Extension has been updated successfully,Extension has been updated successfully,एक्सटेंशन सफलतापूर्वक अपडेट कर दिया गया है,تم تحديث الامتداد بنجاح,La extensión se ha actualizado correctamente.,L'extension a été mise à jour avec succès
Extension is not found!,Extension is not found!,एक्सटेंशन नहीं मिला!,لم يتم العثور على التمديد!,¡No se encuentra la extensión!,L'extension n'est pas trouvée !
Extension status is updated successfully!,Extension status is updated successfully!,एक्सटेंशन स्थिति सफलतापूर्वक अपडेट हो गई है!,تم تحديث حالة الامتداد بنجاح!,¡El estado de la extensión se actualizó correctamente!,Le statut de l'extension a été mis à jour avec succès !
Language updated successfully!,Language updated successfully!,भाषा सफलतापूर्वक अपडेट की गई!,تم تحديث اللغة بنجاح!,¡Idioma actualizado exitosamente!,Langue mise à jour avec succès !
Language (,Language (,भाषा (,لغة (,Idioma (,Langue (
) is not removable.,) is not removable.,) हटाने योग्य नहीं है.,) غير قابل للإزالة.,) no es removible.,) n'est pas amovible.
File remove failed!,File remove failed!,फ़ाइल हटाना विफल!,فشل إزالة الملف!,¡Error al eliminar el archivo!,La suppression du fichier a échoué !
Language deleted successfully!,Language deleted successfully!,भाषा सफलतापूर्वक हटा दी गई!,تم حذف اللغة بنجاح!,¡Idioma eliminado exitosamente!,Langue supprimée avec succès !
Please deselect your default language first.,Please deselect your default language first.,कृपया पहले अपनी डिफ़ॉल्ट भाषा का चयन रद्द करें।,الرجاء إلغاء تحديد لغتك الافتراضية أولاً.,Primero deseleccione su idioma predeterminado.,Veuillez d'abord désélectionner votre langue par défaut.
Language status updated successfully!,Language status updated successfully!,भाषा स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة اللغة بنجاح!,¡El estado del idioma se actualizó exitosamente!,Statut de langue mis à jour avec succès !
Sorry! Language not found!,Sorry! Language not found!,क्षमा मांगना! भाषा नहीं मिली!,آسف! لم يتم العثور على اللغة!,¡Lo siento! ¡Idioma no encontrado!,Désolé! Langue introuvable !
Failed to store new file.,Failed to store new file.,नई फ़ाइल संग्रहीत करने में विफल.,فشل في تخزين الملف الجديد.,No se pudo almacenar el nuevo archivo.,Échec du stockage du nouveau fichier.
Oops! Language not found!,Oops! Language not found!,उफ़! भाषा नहीं मिली!,أُووبس! لم يتم العثور على اللغة!,¡Ups! ¡Idioma no encontrado!,Oups ! Langue introuvable !
Language switch successfully!,Language switch successfully!,भाषा परिवर्तन सफलतापूर्वक!,تبديل اللغة بنجاح!,¡Cambio de idioma exitoso!,Changement de langue réussi !
File does not exists.,File does not exists.,फ़ाइल मौजूद नहीं है.,الملف غير موجود.,El archivo no existe.,Le fichier n'existe pas.
Profile Information Updated Successfully!,Profile Information Updated Successfully!,प्रोफ़ाइल जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات الملف الشخصي بنجاح!,¡Información de perfil actualizada con éxito!,Les informations de profil ont été mises à jour avec succès !
Password updated successfully!,Password updated successfully!,पासवर्ड सफलतापूर्वक अद्यतन!,تم تحديث كلمة المرور بنجاح!,¡Contraseña actualizada exitosamente!,Mot de passe mis à jour avec succès !
Oops! Basic settings not found!,Oops! Basic settings not found!,उफ़! बुनियादी सेटिंग्स नहीं मिलीं!,أُووبس! لم يتم العثور على الإعدادات الأساسية!,¡Ups! ¡No se encontraron configuraciones básicas!,Oups ! Paramètres de base introuvables !
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,क्षमा मांगना! पुश नोटिफिकेशन भेजने के लिए आपको पहले कॉन्फ़िगर करना होगा।,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.,Désolé! Vous devez d'abord configurer pour envoyer une notification push.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,कृपया अपने पुश नोटिफिकेशन को वैध क्रेडेंशियल्स के साथ कॉन्फ़िगर करें।,يرجى تكوين إشعار الدفع الخاص بك ببيانات اعتماد صالحة.,Configure su notificación push con credenciales válidas.,Veuillez configurer votre notification push avec des informations d'identification valides.
Oops! Failed to store information.,Oops! Failed to store information.,उफ़! जानकारी संग्रहीत करने में विफल.,أُووبس! فشل في تخزين المعلومات.,¡Ups! No se pudo almacenar la información.,Oups ! Échec du stockage des informations.
Notification sended successfully!,Notification sended successfully!,अधिसूचना सफलतापूर्वक भेजी गई!,تم إرسال الإخطار بنجاح!,¡Notificación enviada exitosamente!,Notification envoyée avec succès !
Push notification configuration updated successfully!,Push notification configuration updated successfully!,पुश अधिसूचना कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!,تم تحديث تكوين إشعار الدفع بنجاح!,¡La configuración de notificaciones push se actualizó correctamente!,Configuration des notifications push mise à jour avec succès !
Information updated successfully!,Information updated successfully!,जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث المعلومات بنجاح!,¡Información actualizada exitosamente!,Informations mises à jour avec succès !
Email send successfully!,Email send successfully!,ईमेल सफलतापूर्वक भेजा गया!,إرسال البريد الإلكتروني بنجاح!,¡Envío de correo electrónico exitoso!,E-mail envoyé avec succès !
Page not found!,Page not found!,पृष्ठ नहीं मिला!,لم يتم العثور على الصفحة!,¡Página no encontrada!,Page introuvable !
Setup Page status updated successfully!,Setup Page status updated successfully!,सेटअप पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة صفحة الإعداد بنجاح!,¡El estado de la página de configuración se actualizó exitosamente!,L'état de la page de configuration a été mis à jour avec succès !
Banner updated successfully!,Banner updated successfully!,बैनर सफलतापूर्वक अपडेट किया गया!,تم تحديث البانر بنجاح!,¡Banner actualizado exitosamente!,Bannière mise à jour avec succès !
About updated successfully!,About updated successfully!,सफलतापूर्वक अद्यतन के बारे में!,تم التحديث بنجاح!,Acerca de actualizado con éxito!,À propos mis à jour avec succès !
App updated successfully!,App updated successfully!,ऐप सफलतापूर्वक अपडेट हो गया!,تم تحديث التطبيق بنجاح!,¡Aplicación actualizada exitosamente!,Application mise à jour avec succès !
Section updated successfully!,Section updated successfully!,अनुभाग सफलतापूर्वक अद्यतन किया गया!,تم تحديث القسم بنجاح!,¡Sección actualizada exitosamente!,Section mise à jour avec succès !
Service Section updated successfully!,Service Section updated successfully!,सेवा अनुभाग सफलतापूर्वक अपडेट किया गया!,تم تحديث قسم الخدمة بنجاح!,¡Sección de Servicio actualizada exitosamente!,Section de service mise à jour avec succès !
Service item added successfully!,Service item added successfully!,सेवा आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الخدمة بنجاح!,¡Artículo de servicio agregado exitosamente!,Article de service ajouté avec succès !
Section not found!,Section not found!,अनुभाग नहीं मिला!,لم يتم العثور على القسم!,¡Sección no encontrada!,Section introuvable !
Service item not found!,Service item not found!,सेवा वस्तु नहीं मिली!,لم يتم العثور على عنصر الخدمة!,¡Artículo de servicio no encontrado!,Article de service introuvable !
Service item is invalid!,Service item is invalid!,सेवा मद अमान्य है!,عنصر الخدمة غير صالح!,¡El artículo de servicio no es válido!,L'article de service n'est pas valide !
Service Item updated successfully!,Service Item updated successfully!,सेवा आइटम सफलतापूर्वक अपडेट किया गया!,تم تحديث عنصر الخدمة بنجاح!,¡Artículo de servicio actualizado exitosamente!,Article de service mis à jour avec succès !
Service item deleted successfully!,Service item deleted successfully!,सेवा आइटम सफलतापूर्वक हटा दिया गया!,تم حذف عنصر الخدمة بنجاح!,¡El elemento de servicio se eliminó correctamente!,Article de service supprimé avec succès !
Security Section updated successfully!,Security Section updated successfully!,सुरक्षा अनुभाग सफलतापूर्वक अपडेट किया गया!,تم تحديث قسم الأمان بنجاح!,¡Sección de Seguridad actualizada exitosamente!,Section de sécurité mise à jour avec succès !
Security item added successfully!,Security item added successfully!,सुरक्षा आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الأمان بنجاح!,¡El elemento de seguridad se agregó correctamente!,Élément de sécurité ajouté avec succès !
Security item not found!,Security item not found!,सुरक्षा वस्तु नहीं मिली!,لم يتم العثور على عنصر الأمان!,¡Artículo de seguridad no encontrado!,Élément de sécurité introuvable !
Security item is invalid!,Security item is invalid!,सुरक्षा मद अमान्य है!,عنصر الأمان غير صالح!,¡El elemento de seguridad no es válido!,L'élément de sécurité n'est pas valide !
Security Item updated successfully!,Security Item updated successfully!,सुरक्षा आइटम सफलतापूर्वक अपडेट किया गया!,تم تحديث عنصر الأمان بنجاح!,¡Artículo de seguridad actualizado exitosamente!,Élément de sécurité mis à jour avec succès !
Security item deleted successfully!,Security item deleted successfully!,सुरक्षा आइटम सफलतापूर्वक हटा दिया गया!,تم حذف عنصر الأمان بنجاح!,¡El elemento de seguridad se eliminó correctamente!,Élément de sécurité supprimé avec succès !
Statistics updated successfully!,Statistics updated successfully!,आँकड़े सफलतापूर्वक अपडेट किए गए!,تم تحديث الإحصائيات بنجاح!,¡Estadísticas actualizadas con éxito!,Statistiques mises à jour avec succès !
Statistics item added successfully!,Statistics item added successfully!,सांख्यिकी आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الإحصائيات بنجاح!,¡El elemento de estadísticas se agregó correctamente!,Élément de statistiques ajouté avec succès !
Statistics not found!,Statistics not found!,आँकड़े नहीं मिले!,لم يتم العثور على الإحصائيات!,¡Estadísticas no encontradas!,Statistiques introuvables !
Statistics item not found!,Statistics item not found!,सांख्यिकी आइटम नहीं मिला!,لم يتم العثور على عنصر الإحصائيات!,¡No se encontró el elemento estadístico!,Élément de statistiques introuvable !
Statistics item is invalid!,Statistics item is invalid!,सांख्यिकी आइटम अमान्य है!,عنصر الإحصائيات غير صالح!,¡El elemento de estadísticas no es válido!,L'élément de statistiques n'est pas valide !
Statistics item deleted successfully!,Statistics item deleted successfully!,सांख्यिकी आइटम सफलतापूर्वक हटा दिया गया!,تم حذف عنصر الإحصائيات بنجاح!,¡El elemento de estadísticas se eliminó correctamente!,Élément de statistiques supprimé avec succès !
Why Choose Us Section updated successfully!,Why Choose Us Section updated successfully!,हमें क्यों चुनें अनुभाग सफलतापूर्वक अद्यतन किया गया!,تم تحديث قسم لماذا تختارنا بنجاح!,¡La sección Por qué elegirnos se actualizó exitosamente!,Pourquoi nous choisir Section mise à jour avec succès !
Why Choose Us item added successfully!,Why Choose Us item added successfully!,हमें क्यों चुनें आइटम सफलतापूर्वक जोड़ा गया!,لماذا تختارنا تمت إضافة العنصر بنجاح!,¿Por qué elegirnos? ¡Artículo agregado exitosamente!,Pourquoi nous choisir ? Article ajouté avec succès !
Why Choose Us item not found!,Why Choose Us item not found!,हमें क्यों चुनें आइटम नहीं मिला!,لماذا تختارنا لم يتم العثور على العنصر!,¿Por qué elegirnos? ¡Artículo no encontrado!,Pourquoi nous choisir ? Article introuvable !
Why Choose Us item is invalid!,Why Choose Us item is invalid!,हमें क्यों चुनें आइटम अमान्य है!,لماذا تختارنا؟ العنصر غير صالح!,¿Por qué elegirnos? ¡El artículo no es válido!,Pourquoi nous choisir ? L'article n'est pas valide !
Why Choose Us Item updated successfully!,Why Choose Us Item updated successfully!,हमें क्यों चुनें आइटम सफलतापूर्वक अपडेट किया गया!,لماذا تختارنا تم تحديث العنصر بنجاح!,¿Por qué elegirnos? ¡Artículo actualizado exitosamente!,Pourquoi nous choisir Article mis à jour avec succès !
Why Choose Us item deleted successfully!,Why Choose Us item deleted successfully!,हमें क्यों चुनें आइटम सफलतापूर्वक हटा दिया गया!,لماذا تختارنا تم حذف العنصر بنجاح!,¿Por qué elegirnos? ¡El artículo se eliminó correctamente!,Pourquoi nous choisir ? Article supprimé avec succès !
FAQ updated successfully!,FAQ updated successfully!,FAQ सफलतापूर्वक अपडेट किया गया!,تم تحديث الأسئلة الشائعة بنجاح!,¡Preguntas frecuentes actualizadas correctamente!,FAQ mise à jour avec succès !
FAQ item added successfully!,FAQ item added successfully!,FAQ आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الأسئلة الشائعة بنجاح!,¡El artículo de preguntas frecuentes se agregó correctamente!,Élément de FAQ ajouté avec succès !
FAQ item not found!,FAQ item not found!,अक्सर पूछे जाने वाले प्रश्न आइटम नहीं मिला!,لم يتم العثور على عنصر الأسئلة الشائعة!,¡Artículo de preguntas frecuentes no encontrado!,Élément de FAQ introuvable !
FAQ item is invalid!,FAQ item is invalid!,FAQ आइटम अमान्य है!,عنصر الأسئلة الشائعة غير صالح!,¡El artículo de preguntas frecuentes no es válido!,L'élément de la FAQ n'est pas valide !
FAQ item deleted successfully!,FAQ item deleted successfully!,FAQ आइटम सफलतापूर्वक हटा दिया गया!,تم حذف عنصر الأسئلة الشائعة بنجاح!,¡El elemento de preguntas frecuentes se eliminó correctamente!,Élément de FAQ supprimé avec succès !
Testimonials updated successfully!,Testimonials updated successfully!,प्रशंसापत्र सफलतापूर्वक अपडेट किए गए!,تم تحديث الشهادات بنجاح!,¡Testimonios actualizados exitosamente!,Témoignages mis à jour avec succès !
Testimonial item added successfully!,Testimonial item added successfully!,प्रशंसापत्र आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الشهادة بنجاح!,¡Artículo testimonial agregado exitosamente!,Article de témoignage ajouté avec succès !
Testimonial item not found!,Testimonial item not found!,प्रशंसापत्र आइटम नहीं मिला!,لم يتم العثور على البند الشهادة!,¡Artículo testimonial no encontrado!,Article de témoignage introuvable !
Testimonial item is invalid!,Testimonial item is invalid!,प्रशंसापत्र आइटम अमान्य है!,عنصر الشهادة غير صالح!,¡El artículo testimonial no es válido!,L'élément de témoignage n'est pas valide !
Testimonial item deleted successfully!,Testimonial item deleted successfully!,प्रशंसापत्र आइटम सफलतापूर्वक हटा दिया गया!,تم حذف عنصر الشهادة بنجاح!,¡El artículo testimonial se eliminó correctamente!,Élément de témoignage supprimé avec succès !
Category Saved Successfully!,Category Saved Successfully!,श्रेणी सफलतापूर्वक सहेजी गई!,تم حفظ الفئة بنجاح!,¡Categoría guardada exitosamente!,Catégorie enregistrée avec succès !
Category Updated Successfully!,Category Updated Successfully!,श्रेणी सफलतापूर्वक अपडेट की गई!,تم تحديث الفئة بنجاح!,¡Categoría actualizada con éxito!,Catégorie mise à jour avec succès !
Category record not found in our system.,Category record not found in our system.,हमारे सिस्टम में श्रेणी रिकॉर्ड नहीं मिला.,لم يتم العثور على سجل الفئة في نظامنا.,Registro de categoría no encontrado en nuestro sistema.,Enregistrement de catégorie introuvable dans notre système.
Category status updated successfully!,Category status updated successfully!,श्रेणी स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الفئة بنجاح!,¡El estado de la categoría se actualizó exitosamente!,Statut de la catégorie mis à jour avec succès !
Announcement item added successfully!,Announcement item added successfully!,घोषणा आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الإعلان بنجاح!,¡El artículo del anuncio se agregó correctamente!,Élément d'annonce ajouté avec succès !
Announcement item updated successfully!,Announcement item updated successfully!,घोषणा आइटम सफलतापूर्वक अपडेट किया गया!,تم تحديث عنصر الإعلان بنجاح!,¡El elemento del anuncio se actualizó correctamente!,Élément d'annonce mis à jour avec succès !
Announcement record not found in our system.,Announcement record not found in our system.,हमारे सिस्टम में घोषणा रिकॉर्ड नहीं मिला.,سجل الإعلان غير موجود في نظامنا.,Registro de anuncio no encontrado en nuestro sistema.,Enregistrement d'annonce introuvable dans notre système.
Announcement status updated successfully!,Announcement status updated successfully!,घोषणा स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الإعلان بنجاح!,¡El estado del anuncio se actualizó exitosamente!,Statut de l'annonce mis à jour avec succès !
Footer updated successfully!,Footer updated successfully!,फ़ुटर सफलतापूर्वक अपडेट किया गया!,تم تحديث التذييل بنجاح!,¡Pie de página actualizado exitosamente!,Pied de page mis à jour avec succès !
Social icon added successfully!,Social icon added successfully!,सामाजिक चिह्न सफलतापूर्वक जोड़ा गया!,تمت إضافة الرمز الاجتماعي بنجاح!,¡El ícono social se agregó exitosamente!,Icône sociale ajoutée avec succès !
Social Icon not found!,Social Icon not found!,सामाजिक चिह्न नहीं मिला!,لم يتم العثور على أيقونة الاجتماعية!,¡Icono social no encontrado!,Icône sociale introuvable !
Social Icon is invalid!,Social Icon is invalid!,सामाजिक चिह्न अमान्य है!,الرمز الاجتماعي غير صالح!,¡El icono social no es válido!,L'icône sociale n'est pas valide !
Social Icon deleted successfully!,Social Icon deleted successfully!,सामाजिक चिह्न सफलतापूर्वक हटा दिया गया!,تم حذف أيقونة التواصل الاجتماعي بنجاح!,¡El ícono social se eliminó exitosamente!,Icône sociale supprimée avec succès !
Auth updated successfully!,Auth updated successfully!,प्रमाणीकरण सफलतापूर्वक अपडेट किया गया!,تم تحديث المصادقة بنجاح!,¡Autenticación actualizada exitosamente!,Authentification mise à jour avec succès !
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,एसएमएस भेजना विफल! कृपया पुन: प्रयास करें।,فشل إرسال الرسائل القصيرة! يرجى المحاولة مرة أخرى.,¡Falló el envío de SMS! Por favor inténtalo de nuevo.,L'envoi du SMS a échoué ! Veuillez réessayer.
Failed to change status to active!,Failed to change status to active!,स्थिति को सक्रिय में बदलने में विफल!,فشل تغيير الحالة إلى نشطة!,¡No se pudo cambiar el estado a activo!,Échec du changement d'état en actif !
This ticket is already solved!,This ticket is already solved!,यह टिकट पहले ही हल हो चुका है!,تم حل هذه التذكرة بالفعل!,¡Este ticket ya está solucionado!,Ce ticket est déjà résolu !
Page added successfully!,Page added successfully!,पेज सफलतापूर्वक जोड़ा गया!,تمت إضافة الصفحة بنجاح!,¡Página agregada exitosamente!,Page ajoutée avec succès !
Page updated successfully!,Page updated successfully!,पेज सफलतापूर्वक अपडेट किया गया!,تم تحديث الصفحة بنجاح!,¡Página actualizada exitosamente!,Page mise à jour avec succès !
Page record not found in our system.,Page record not found in our system.,हमारे सिस्टम में पेज रिकॉर्ड नहीं मिला.,سجل الصفحة غير موجود في نظامنا.,Registro de página no encontrado en nuestro sistema.,Enregistrement de page introuvable dans notre système.
Page status updated successfully!,Page status updated successfully!,पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الصفحة بنجاح!,¡El estado de la página se actualizó exitosamente!,Statut de la page mis à jour avec succès !
Page deleted successfully!,Page deleted successfully!,पेज सफलतापूर्वक हटा दिया गया!,تم حذف الصفحة بنجاح!,¡Página eliminada exitosamente!,Page supprimée avec succès !
Oops! User not exists,Oops! User not exists,उफ़! उपयोगकर्ता मौजूद नहीं है,أُووبس! المستخدم غير موجود,¡Ups! El usuario no existe,Oups ! L'utilisateur n'existe pas
Email successfully sended,Email successfully sended,ईमेल सफलतापूर्वक भेजा गया,تم إرسال البريد الإلكتروني بنجاح,Correo electrónico enviado correctamente,E-mail envoyé avec succès
Mail successfully sended,Mail successfully sended,मेल सफलतापूर्वक भेजा गया,تم إرسال البريد بنجاح,Correo enviado exitosamente,Mail envoyé avec succès
Oops! User doesn't exists,Oops! User doesn't exists,उफ़! उपयोगकर्ता मौजूद नहीं है,أُووبس! المستخدم غير موجود,¡Ups! El usuario no existe,Oups ! L'utilisateur n'existe pas
Basic settings not found!,Basic settings not found!,बुनियादी सेटिंग्स नहीं मिलीं!,لم يتم العثور على الإعدادات الأساسية!,¡No se encontraron configuraciones básicas!,Paramètres de base introuvables !
Basic settings updated successfully!,Basic settings updated successfully!,बुनियादी सेटिंग्स सफलतापूर्वक अपडेट की गईं!,تم تحديث الإعدادات الأساسية بنجاح!,¡La configuración básica se actualizó correctamente!,Paramètres de base mis à jour avec succès !
You have to configure your system mail first.,You have to configure your system mail first.,आपको पहले अपना सिस्टम मेल कॉन्फ़िगर करना होगा.,يجب عليك تكوين بريد النظام الخاص بك أولاً.,Primero debe configurar el correo de su sistema.,Vous devez d'abord configurer votre messagerie système.
Basic settings status updated successfully!,Basic settings status updated successfully!,बुनियादी सेटिंग्स स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الإعدادات الأساسية بنجاح!,¡El estado de la configuración básica se actualizó correctamente!,L'état des paramètres de base a été mis à jour avec succès !
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,मूल सेटिंग नहीं मिली! कृपया डेटाबेस सीडर चलाएँ,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات,¡Configuración básica no encontrada! Por favor ejecute el sembrador de base de datos,Paramètre de base introuvable ! Veuillez exécuter le semoir de base de données
No changes to update.,No changes to update.,अद्यतन करने के लिए कोई परिवर्तन नहीं.,لا توجد تغييرات للتحديث.,No hay cambios para actualizar.,Aucune modification à mettre à jour.
Image assets updated successfully!.,Image assets updated successfully!.,छवि परिसंपत्तियाँ सफलतापूर्वक अपडेट की गईं!,تم تحديث أصول الصورة بنجاح!.,Recursos de imagen actualizados exitosamente.,Les éléments d'image ont été mis à jour avec succès !.
Pickup date and time must be in the future.,Pickup date and time must be in the future.,पिकअप की तारीख और समय भविष्य का होना चाहिए.,يجب أن يكون تاريخ ووقت الاستلام في المستقبل.,La fecha y hora de recogida deben ser en el futuro.,La date et l'heure de ramassage doivent être ultérieures.
Round pickup date and time must be in the future.,Round pickup date and time must be in the future.,राउंड पिकअप की तारीख और समय भविष्य में होना चाहिए।,يجب أن يكون تاريخ ووقت الاستلام في المستقبل.,La fecha y hora de recogida de la ronda deben ser futuras.,La date et l'heure de ramassage du tour doivent être ultérieures.
Round pickup date and time must be greater than pickup date and time.,Round pickup date and time must be greater than pickup date and time.,राउंड पिकअप दिनांक और समय पिकअप दिनांक और समय से अधिक होना चाहिए।,يجب أن يكون تاريخ ووقت الاستلام أكبر من تاريخ ووقت الاستلام.,La fecha y hora de recogida de la ronda deben ser mayores que la fecha y hora de recogida.,La date et l'heure de ramassage du tour doivent être supérieures à la date et à l'heure de ramassage.
This car is already booked at the selected date,This car is already booked at the selected date,यह कार पहले से ही चयनित तिथि पर बुक हो चुकी है,تم حجز هذه السيارة بالفعل في التاريخ المحدد,Este coche ya está reservado en la fecha seleccionada.,Cette voiture est déjà réservée à la date sélectionnée
Booking Not Found!,Booking Not Found!,बुकिंग नहीं मिली!,لم يتم العثور على الحجز!,¡Reserva no encontrada!,Réservation introuvable !
Please check your email to get the OTP,Please check your email to get the OTP,ओटीपी प्राप्त करने के लिए कृपया अपना ईमेल जांचें,يرجى التحقق من بريدك الإلكتروني للحصول على كلمة المرور لمرة واحدة,Por favor revise su correo electrónico para obtener la OTP,Veuillez vérifier votre courrier électronique pour obtenir l'OTP
Verification code not found in temporary data,Verification code not found in temporary data,अस्थायी डेटा में सत्यापन कोड नहीं मिला,لم يتم العثور على رمز التحقق في البيانات المؤقتة,Código de verificación no encontrado en datos temporales,Code de vérification introuvable dans les données temporaires
Invalid otp code,Invalid otp code,अमान्य ओटीपी कोड,رمز OTP غير صالح,código otp no válido,Code OTP invalide
Your Booking (Car Model:,Your Booking (Car Model:,आपकी बुकिंग (कार मॉडल:,حجزك (موديل السيارة:,Su Reserva (Modelo de Coche:,Votre réservation (Modèle de voiture :
Successfully booked,Successfully booked,सफलतापूर्वक बुक किया गया,تم الحجز بنجاح,Reservado con éxito,Réservé avec succès
Congratulations! Car Booking Confirmed Successfully.,Congratulations! Car Booking Confirmed Successfully.,बधाई हो! कार बुकिंग की सफलतापूर्वक पुष्टि हो गई।,تهانينا! تم تأكيد حجز السيارة بنجاح.,¡Felicidades! Reserva de coche confirmada con éxito.,Félicitations! Réservation de voiture confirmée avec succès.
